VARIABLES = "Deflection [°]" CFX CFY CFZ CMX CMY CMZ
ZONE T = "Rudder"
-20	-0.048672959	-0.900874338	0	0	0	-0.892728412
-18	-0.040288795	-0.839459219	0	0	0	-0.830459136
-16	-0.030226961	-0.799867516	0	0	0	-0.787679806
-14	-0.011936919	-0.905288358	0	0	0	-0.879878137
-12	-0.006658650	-0.837562052	0	0	0	-0.812739402
-10	-0.003779016	-0.736725347	0	0	0	-0.715065297
-8	-0.002216835	-0.607130210	0	0	0	-0.589663357
-6	-0.001113339	-0.464242626	0	0	0	-0.451167676
-4	-0.000445558	-0.316603443	0	0	0	-0.308007376
-2	-6.57040E-05	-0.160402081	0	0	0	-0.156180759
0	0	0	0	0	0	0
2	-9.54360E-05	0.155765206	0	0	0	0.151415009
4	-0.000435018	0.312455990	0	0	0	0.303787696
6	-0.001099988	0.461195094	0	0	0	0.448011807
8	-0.002203408	0.601784679	0	0	0	0.584164788
10	-0.004028043	0.724809591	0	0	0	0.703132596
12	-0.006907456	0.828638352	0	0	0	0.803856623
14	-0.012378434	0.892329707	0	0	0	0.867402480
16	-0.026867360	0.842622751	0	0	0	0.826655195
18	-0.040074846	0.836241640	0	0	0	0.826982540
20	-0.048853176	0.901466963	0	0	0	0.893231488
